listingId,project_name,coords,address,image_url
7015953,"the royal city ex,Bhankrota, Jaipur","the royal city ex,Bhankrota, Jaipur","['26.858595', '75.700642']",https://is1-3.housingcdn.com/01c16c28/55642de1008eb43d64e82af20e525712/v0/medium/residential_plot-for-sale-bhankrota-Jaipur-plot_view.jpg
7051343,Gokul Kripa Vaishali Extension,"Ganpati Nagar, Jaipur","['26.91267', '75.786644']",https://is1-3.housingcdn.com/01c16c28/32986516ebeba7cb3a8f8ca54bf727ab/v0/medium/residential_plot-for-sale-ganpati_nagar_jaipur-Jaipur-plot_view.jpg
7051586,Gokul Kripa Vaishali Extension,"Ganpati Nagar, Jaipur","['26.91267', '75.786644']",https://is1-3.housingcdn.com/01c16c28/32986516ebeba7cb3a8f8ca54bf727ab/v0/medium/residential_plot-for-sale-ganpati_nagar_jaipur-Jaipur-plot_view.jpg
7051748,Gokul Kripa Vaishali Extension,"Ganpati Nagar, Jaipur","['26.91267', '75.786644']",https://is1-3.housingcdn.com/01c16c28/32986516ebeba7cb3a8f8ca54bf727ab/v0/medium/residential_plot-for-sale-ganpati_nagar_jaipur-Jaipur-plot_view.jpg
7001727,"the royal city extantion,Bhankrota, Jaipur","the royal city extantion,Bhankrota, Jaipur","['26.863985', '75.699818']",https://is1-3.housingcdn.com/01c16c28/22e93f05f9965300cbbaa4750d086ebc/v0/medium/residential_plot-for-sale-bhankrota-Jaipur-plot_view.jpg
7015953,"the royal city ex,Bhankrota, Jaipur","the royal city ex,Bhankrota, Jaipur","['26.858595', '75.700642']",https://is1-3.housingcdn.com/01c16c28/55642de1008eb43d64e82af20e525712/v0/medium/residential_plot-for-sale-bhankrota-Jaipur-plot_view.jpg
7051343,Gokul Kripa Vaishali Extension,"Ganpati Nagar, Jaipur","['26.91267', '75.786644']",https://is1-3.housingcdn.com/01c16c28/32986516ebeba7cb3a8f8ca54bf727ab/v0/medium/residential_plot-for-sale-ganpati_nagar_jaipur-Jaipur-plot_view.jpg
7051586,Gokul Kripa Vaishali Extension,"Ganpati Nagar, Jaipur","['26.91267', '75.786644']",https://is1-3.housingcdn.com/01c16c28/32986516ebeba7cb3a8f8ca54bf727ab/v0/medium/residential_plot-for-sale-ganpati_nagar_jaipur-Jaipur-plot_view.jpg
7051748,Gokul Kripa Vaishali Extension,"Ganpati Nagar, Jaipur","['26.91267', '75.786644']",https://is1-3.housingcdn.com/01c16c28/32986516ebeba7cb3a8f8ca54bf727ab/v0/medium/residential_plot-for-sale-ganpati_nagar_jaipur-Jaipur-plot_view.jpg
6989524,"Kisaan Green Residency ,Jaisinghpura, Jaipur","Kisaan Green Residency ,Jaisinghpura, Jaipur","['26.832527', '75.693947']",https://is1-3.housingcdn.com/01c16c28/0de50bac9fdcd9f6a918555f47b9e092/v0/medium/residential_plot-for-sale-jaisinghpura_1-Jaipur-plot_view.jpg
6989695,"Krishna Residency Bhankrota,Bhankrota, Jaipur","Krishna Residency Bhankrota,Bhankrota, Jaipur","['26.86766', '75.705448']",https://is1-3.housingcdn.com/01c16c28/0de50bac9fdcd9f6a918555f47b9e092/v0/medium/residential_plot-for-sale-bhankrota-Jaipur-plot_view.jpg
7009077,"the royal park,Bhankrota, Jaipur","the royal park,Bhankrota, Jaipur","['26.861167', '75.701328']",https://is1-2.housingcdn.com/01c16c28/1003a51f6f51bb7db128034a2005fd95/v0/medium/residential_plot-for-sale-bhankrota-Jaipur-plot_view.jpg
7010683,"the royal park,Bhankrota, Jaipur","the royal park,Bhankrota, Jaipur","['26.863495', '75.697346']",https://is1-2.housingcdn.com/01c16c28/1003a51f6f51bb7db128034a2005fd95/v0/medium/residential_plot-for-sale-bhankrota-Jaipur-plot_view.jpg
7010691,"the park royal,Bhankrota, Jaipur","the park royal,Bhankrota, Jaipur","['26.86031', '75.699268']",https://is1-2.housingcdn.com/01c16c28/1003a51f6f51bb7db128034a2005fd95/v0/medium/residential_plot-for-sale-bhankrota-Jaipur-plot_view.jpg
7015760,"the royal city ext,Bhankrota, Jaipur","the royal city ext,Bhankrota, Jaipur","['26.860432', '75.70023']",https://is1-3.housingcdn.com/01c16c28/55642de1008eb43d64e82af20e525712/v0/medium/residential_plot-for-sale-bhankrota-Jaipur-plot_view.jpg
7015890,"the royal city ex,Bhankrota, Jaipur","the royal city ex,Bhankrota, Jaipur","['26.861167', '75.69968']",https://is1-3.housingcdn.com/01c16c28/55642de1008eb43d64e82af20e525712/v0/medium/residential_plot-for-sale-bhankrota-Jaipur-plot_view.jpg
7016038,"the royal city ex,Bhankrota, Jaipur","the royal city ex,Bhankrota, Jaipur","['26.858595', '75.700642']",https://is1-3.housingcdn.com/01c16c28/55642de1008eb43d64e82af20e525712/v0/medium/residential_plot-for-sale-bhankrota-Jaipur-plot_view.jpg
7051831,Gokul Kripa Vaishali Extension,"Ganpati Nagar, Jaipur","['26.91267', '75.786644']",https://is1-3.housingcdn.com/01c16c28/32986516ebeba7cb3a8f8ca54bf727ab/v0/medium/residential_plot-for-sale-ganpati_nagar_jaipur-Jaipur-plot_view.jpg
8301436,Shree Radha Villa,"Jaisinghpura, Jaipur","['26.833193', '75.693626']",https://is1-2.housingcdn.com/01c16c28/dfd9ce2ae319b8e93d97aa3534996352/v0/medium/residential_plot-for-sale-jaisinghpura_1-Jaipur-plot_view.jpg
8294110,"Ram villa,Bhankrota, Jaipur","Ram villa,Bhankrota, Jaipur","['26.869242', '75.696717']",https://is1-3.housingcdn.com/01c16c28/4dbb666bccc0358fba6ee733fbe3b022/v0/medium/residential_plot-for-sale-bhankrota-Jaipur-plot_view.jpg
8198793,White Pearl Apartment,"Panchsheel Colony, Sushilpura,Jaipur","['26.897613', '75.757064']",https://is1-2.housingcdn.com/01c16c28/01d7e576607745ccfbe51bc9c21a951c/v0/medium/2_bhk_apartment-for-sale-sushilpura-Jaipur-kitchen.jpg
8284917,"Radhe residency,Bhankrota, Jaipur","Radhe residency,Bhankrota, Jaipur","['26.869242', '75.696717']",https://is1-2.housingcdn.com/01c16c28/62555effa7dff8ea2db24f26e07a80fa/v0/medium/residential_plot-for-sale-bhankrota-Jaipur-plot_view.jpg
8220428,"Balaji home Green,Narayan Vihar, Jaipur","Balaji home Green,Narayan Vihar, Jaipur","['26.864345', '75.72465']",https://is1-3.housingcdn.com/01c16c28/285ef6186ba9bb1c75c7ef27f4531b6e/v0/medium/3_bhk_apartment-for-sale-narayan_vihar_jaipur-Jaipur-hall.jpg
8220651,Kedia Virasat,"Gajsinghpur, Jaipur","['26.87896', '75.72522']",https://is1-2.housingcdn.com/01c16c28/41b39cbd530009027849292805630202/v0/medium/3_bhk_villa-for-sale-gajsinghpur-Jaipur-hall.jpg
8294110,"Ram villa,Bhankrota, Jaipur","Ram villa,Bhankrota, Jaipur","['26.869242', '75.696717']",https://is1-3.housingcdn.com/01c16c28/4dbb666bccc0358fba6ee733fbe3b022/v0/medium/residential_plot-for-sale-bhankrota-Jaipur-plot_view.jpg
8198793,White Pearl Apartment,"Panchsheel Colony, Sushilpura,Jaipur","['26.897613', '75.757064']",https://is1-2.housingcdn.com/01c16c28/01d7e576607745ccfbe51bc9c21a951c/v0/medium/2_bhk_apartment-for-sale-sushilpura-Jaipur-kitchen.jpg
8284917,"Radhe residency,Bhankrota, Jaipur","Radhe residency,Bhankrota, Jaipur","['26.869242', '75.696717']",https://is1-2.housingcdn.com/01c16c28/62555effa7dff8ea2db24f26e07a80fa/v0/medium/residential_plot-for-sale-bhankrota-Jaipur-plot_view.jpg
8220428,"Balaji home Green,Narayan Vihar, Jaipur","Balaji home Green,Narayan Vihar, Jaipur","['26.864345', '75.72465']",https://is1-3.housingcdn.com/01c16c28/285ef6186ba9bb1c75c7ef27f4531b6e/v0/medium/3_bhk_apartment-for-sale-narayan_vihar_jaipur-Jaipur-hall.jpg
8220651,Kedia Virasat,"Gajsinghpur, Jaipur","['26.87896', '75.72522']",https://is1-2.housingcdn.com/01c16c28/41b39cbd530009027849292805630202/v0/medium/3_bhk_villa-for-sale-gajsinghpur-Jaipur-hall.jpg
8220292,"Balaji home Green,Narayan Vihar, Jaipur","Balaji home Green,Narayan Vihar, Jaipur","['26.864345', '75.72465']",https://is1-3.housingcdn.com/01c16c28/52d62d16d7e8317e533a470320245b75/v0/medium/3_bhk_apartment-for-sale-narayan_vihar_jaipur-Jaipur-hall.jpg
8220350,"Balaji Home Green,Narayan Vihar, Jaipur","Balaji Home Green,Narayan Vihar, Jaipur","['26.864345', '75.72465']",https://is1-3.housingcdn.com/01c16c28/259650cf4942298f4609a07eaf868457/v0/medium/3_bhk_apartment-for-sale-narayan_vihar_jaipur-Jaipur-kitchen.jpg
